owner,family,generated,Syncs,intensity,codes,Lagged,pattern_names,names
albert,albert_albert,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
cambridgeltl,cambridgeltl_SapBERT,automatic,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
ProsusAI,ProsusAI_finbert,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
prithivida,prithivida_parrot,automatic,PS,R,PSR,Downstream First,Sparse Alignment Pattern,Sparse Alignment
dmis-lab,dmis-lab_biobert,automatic,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
Hate-speech-CNERG,Hate-speech-CNERG_Xplain,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
tohoku-nlp,tohoku-nlp_japanese_bert,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
MoritzLaurer,MoritzLaurer_DeBERTa,automatic,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
mistralai,mistralai_Mistral-inference,automatic,PS,F,PSF,No Lag,Dense Partial Alignment Pattern,Dense Partial Alignment
tsmatz,tsmatz_xlm-roberta,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
indobenchmark,indobenchmark_indobert,automatic,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
bvanaken,bvanaken_clinical-assertion,automatic,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
ckiplab,ckiplab_chinese-model,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
emilyalsentzer,emilyalsentzer_Bio_ClinicalBERT,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
intfloat,intfloat_multilingual,automatic,VS,S,VSS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
google,google_byt5,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
j-hartmann,j-hartmann_emotion,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
akdeniz27,akdeniz27_bert,automatic,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
intfloat,intfloat_e5,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
davebulaval,davebulaval_MeaningBERT,automatic,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
microsoft,microsoft_wavlm,automatic,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
microsoft,microsoft_phi-2,automatic,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
hatmimoha,hatmimoha_arabic,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
google,google_gemma,automatic,CS,F,CSF,Upstream First,Frequent Alignment Pattern,Frequent Alignment
microsoft,microsoft_codebert,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
EleutherAI,EleutherAI_neox,automatic,CS,F,CSF,Upstream First,Frequent Alignment Pattern,Frequent Alignment
snunlp,snunlp_KR-SBERT,automatic,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
